Scientific name,Common name,group,Rank,545280,545282,545281
Bos taurus,"Kau,Cattle",Mammals,Species,4961,4520,2399
Nais communis/variabilis complex sp. A1,Sludgeworm,Worms,Species,5073,1002,626
Physella acuta,Left handed sinistral snail,Molluscs,Species,154,786,2226
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,674,295,871
Potamothrix bavaricus,Aquatic oligochaete worm,Worms,Species,183,128,1061
Nais communis,Sludgeworm,Worms,Species,592,678,90
Acanthocyclops robustus,Copepod,Crustaceans,Species,155,0,970
Galaxias fasciatus,"Kokōpu,Banded kokopu",Fish,Species,434,98,278
Galaxias maculatus,"Īnanga,Inanga",Fish,Species,16,319,289
Rhopalosiphum padi,Bird cherry-oat aphid,Insects,Species,45,194,362
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,108,196,188
Limnodrilus hoffmeisteri,Redworm,Worms,Species,41,19,335
Enchytraeus buchholzi complex sp. CEI,,Worms,Species,0,17,347
Paracyclops fimbriatus,Copepod,Crustaceans,Species,85,169,55
Carduelis carduelis,Goldfinch,Birds,Species,62,0,229
Globulidrilus riparius complex sp. CEC,,Worms,Species,17,28,235
Lumbriculus variegatus,Blackworm,Worms,Species,44,18,192
Cernosvitoviella minor complex sp. CEF,,Worms,Species,18,11,185
Tubifex tubifex,Sludge worm,Worms,Species,8,86,77
Penthaleidae sp. Q091,,Mites and ticks,Species,20,54,95
Sturnus vulgaris,"Tāringi,Common starling",Birds,Species,143,10,0
Chamaedrilus aff. glandulosus B SM-2014,Worm,Worms,Species,8,7,138
Simocephalus vetulus,Water flea,Crustaceans,Species,0,44,102
Gobiomorphus breviceps,Upland bully,Fish,Species,142,0,0
Anguilla dieffenbachii,"Tuna; kūwharuwharu; reherehe; kirirua,Longfin eel",Fish,Species,17,71,38
Turdus philomelos,Song thrush,Birds,Species,0,0,123
Prunella modularis,Dunnock,Birds,Species,0,0,108
Passer domesticus,"Tiu,House sparrow",Birds,Species,31,48,27
Rattus norvegicus,"Pouhawaiki; pou o hawaiki; kaingarua; maungarua,Norway Rat",Mammals,Species,26,0,66
Canis lupus familiaris,"Pero,Dog",Mammals,Subspecies,38,53,0
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,5,0,63
Chydorus sphaericus complex sp. A1,,Crustaceans,Species,0,33,31
Eiseniella tetraedra,Squaretail worm,Worms,Species,0,0,47
Capitophorus elaeagni,Artichoke aphid,Insects,Species,0,19,26
Globulidrilus riparius,Worm,Worms,Species,0,0,39
Mus musculus,House mouse,Mammals,Species,0,37,0
Rotaria rotatoria,Rotifer,Rotifers,Species,0,7,30
Aporrectodea trapezoides,Southern worm,Worms,Species,0,0,31
Cochliopodium kieliense,Amoeba,Amoebae,Species,0,0,30
Felis catus,"Ngeru; poti,Cat",Mammals,Species,24,0,0
Cognettia asloae,Worm,Worms,Species,0,0,22
Herpetocypris brevicaudata,,Crustaceans,Species,0,7,13
Hypogastrura purpurescens,Springtail,Springtails,Species,0,11,8
Tuberolachnus salignus,Giant willow aphid,Insects,Species,0,14,0
Lumbricus rubellus,Red earthworm,Worms,Species,0,10,0
Torularia atra,Red algae,Red algae,Species,0,0,9
Enchytraeus buchholzi complex sp. 2 MK-2019,Grindal worm,Worms,Species,9,0,0
Pristina sp. CEE,,Worms,Species,0,0,8
Potamopyrgus antipodarum,Mud Snail,Molluscs,Species,0,0,6
Supraphorura furcifera,Springtail,Springtails,Species,0,6,0
Chaetogaster sp. CEE,,Worms,Species,0,0,6
Pristina sp. CEF,,Worms,Species,0,0,6
Bothrioneurum vejdovskyanum complex sp. CEA,,Worms,Species,0,6,0
Hydra vulgaris,Hydra,Cnidarians,Species,0,0,5
Nais communis complex sp. A3,,Worms,Species,0,0,5
Enchytraeus buchholzi complex sp. CEF,,Worms,Species,0,5,0
,,,,19359,9279,13312
