Scientific name,Common name,Group,Rank,Sequence count
Neochanna burrowsius,"Kowaro,Canterbury mudfish",Fish,Species,1687
Prunella modularis,Dunnock,Birds,Species,1393
Daphnia obtusa group,,Crustaceans,Species group,1271
Lumbriculus variegatus,Blackworm,Worms,Species,447
Acanthocyclops robustus,Copepod,Crustaceans,Species,431
Limnodrilus hoffmeisteri,Redworm,Worms,Species,331
Mus musculus,House mouse,Mammals,Species,279
Ilyodrilus sp. CEB,,Worms,Species,102
Zosterops lateralis,"Pihipihi; tauhou; hiraka,Silvereye",Birds,Species,89
Chydorus sphaericus complex sp. A1,,Crustaceans,Species,66
Anthornis melanura,"Korimako,Bellbird",Birds,Species,59
Paracyclops fimbriatus,Copepod,Crustaceans,Species,59
Fringilla coelebs,"Pahirini,Common chaffinch",Birds,Species,39
Trichosurus vulpecula,"Paihamu; paihama,Common brushtail possum",Mammals,Species,24
Eiseniella tetraedra,Squaretail worm,Worms,Species,14
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,8
Bimastos rubidus,Worm,Worms,Species,7
,,,,11982
