Scientific name,Common name,group,Rank,537046,537004,537005
Galaxias maculatus,"Īnanga,Inanga",Fish,Species,11918,10123,7943
Potamothrix bavaricus,Aquatic oligochaete worm,Worms,Species,0,2598,4934
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,2135,1553,1922
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,0,1452,1528
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,1005,1121,613
Tubifex tubifex,Sludge worm,Worms,Species,323,469,1044
Limnodrilus hoffmeisteri,Redworm,Worms,Species,268,602,798
Sphaerium novaezelandiae,NZ freshwater clam,Molluscs,Species,610,621,26
Gobiomorphus cotidianus,"Tīpokopoko; toitoi,Common bully",Fish,Species,96,264,293
Lepus europaeus,"Hea,Brown hare",Mammals,Species,152,434,13
Tadorna variegata,"Pūtangitangi,Paradise Shelduck",Birds,Species,298,163,0
Porphyrio melanotus,"Pūkeko,Pukeko",Birds,Species,117,210,68
Aythya novaeseelandiae,"Papango; matapouri; titiporangi; raipo,New Zealand scaup; black teal",Birds,Species,119,64,161
Gobiomorphus breviceps,Upland bully,Fish,Species,179,0,87
Gobiomorphus hubbsi,Bluegilled bully,Fish,Species,82,0,144
Costelytra zealandica,Grass grub,Insects,Species,160,42,6
Gobiomorphus gobioides,"Tītarakura; tīpokopoko,Giant bully",Fish,Species,0,0,168
Bos taurus,"Kau,Cattle",Mammals,Species,40,41,63
Salix alba,White willow,Plants,Species,58,39,42
Lumbriculus variegatus,Blackworm,Worms,Species,35,68,24
Anthoxanthum odoratum,Sweet vernal grass,Plants,Species,0,106,0
Corynoneura scutellata,Non-biting midge,Insects,Species,49,27,0
Closterium baillyanum,Charophyte green algae,Other,Species,21,16,38
Sellaphora pupula,Diatom,Diatoms,Species,45,28,0
Sturnus vulgaris,"Tāringi,Common starling",Birds,Species,72,0,0
Dacrycarpus dacrydioides,Kahikatea,Plants,Species,59,0,0
Elodea canadensis,Pondweed; waterweed,Plants,Species,0,43,15
Neochanna burrowsius,"Kowaro,Canterbury mudfish",Fish,Species,0,57,0
Acanthocyclops robustus,Copepod,Crustaceans,Species,41,10,5
Herpetocypris brevicaudata,,Crustaceans,Species,33,23,0
Paratanytarsus grimmii,Chironomid,Insects,Species,34,18,0
Ranunculus sceleratus,,Plants,Species,10,37,0
Torularia atra,Red algae,Red algae,Species,46,0,0
Bothrioneurum vejdovskyanum complex sp. CEA,,Worms,Species,0,0,45
Polyprion oxygeneios,"Hāpuka; whapuku,Hapuku; groper",Fish,Species,45,0,0
Glyceria declinata,Low Manna Grass,Plants,Species,21,0,21
Lolium perenne,Perennial ryegrass,Plants,Species,42,0,0
Triplectides cephalotes,Caddisfly,Insects,Species,21,20,0
Chydorus sphaericus complex sp. A1,,Crustaceans,Species,24,17,0
Canis lupus familiaris,"Pero,Dog",Mammals,Subspecies,0,5,34
Enchytraeus buchholzi complex sp. CEI,,Worms,Species,11,12,16
Veliidae sp.,,Insects,Species,8,29,0
Cochliopodium kieliense,Amoeba,Amoebae,Species,37,0,0
Potamogeton cheesemanii,,Plants,Species,8,8,19
Paracyclops fimbriatus,Copepod,Crustaceans,Species,24,9,0
Poa trivialis,Rough bluegrass,Plants,Species,0,29,0
Nasturtium officinale,"Wātakirihi; kōwhitiwhiti,Watercress",Plants,Species,0,15,13
Cervus elaphus,"Tia,Red Deer",Mammals,Species,0,27,0
Daphnia carinata,Water flea,Crustaceans,Species,0,19,8
Hydroptilidae sp. 12KH6B,Purse-case caddisfly,Insects,Species,20,7,0
Gymnorhina tibicen,Magpie,Birds,Species,27,0,0
Galaxias fasciatus,"Kokōpu,Banded kokopu",Fish,Species,0,26,0
Anguilla dieffenbachii,"Tuna; kūwharuwharu; reherehe; kirirua,Longfin eel",Fish,Species,15,0,9
Potamopyrgus antipodarum,Mud Snail,Molluscs,Species,24,0,0
Phalacrocorax carbo,"Kawau pū,Black Shag",Birds,Species,0,23,0
Cyclotella cryptica,Brackish-water diatom,Diatoms,Species,0,23,0
Anthoxanthum sp. MP-2014,,Plants,Species,0,0,23
Gyraulus corinna,NZ freshwater snail,Molluscs,Species,17,6,0
Rattus norvegicus,"Pouhawaiki; pou o hawaiki; kaingarua; maungarua,Norway Rat",Mammals,Species,14,0,8
Lumbricus rubellus,Red earthworm,Worms,Species,0,6,15
Bothrioneurum vejdovskyanum complex sp. CEB,,Worms,Species,0,14,7
Enchytraeus buchholzi complex sp. 2 MK-2019,Grindal worm,Worms,Species,0,18,0
Ovis aries,"Pirikahu; hipi,Sheep",Mammals,Species,17,0,0
Chamaedrilus aff. glandulosus B SM-2014,Worm,Worms,Species,0,16,0
Nais christinae,Sludgeworm,Worms,Species,0,0,15
Enchytraeus buchholzi complex sp. CEF,,Worms,Species,0,0,15
Nais communis,Sludgeworm,Worms,Species,5,9,0
Physella acuta,Left handed sinistral snail,Molluscs,Species,13,0,0
Simocephalus vetulus,Water flea,Crustaceans,Species,0,12,0
uncultured Pythium,,Oomycetes,Species,6,6,0
Hyalinella punctata,,Bryozoans,Species,10,0,0
Hydrozetidae sp.,,Mites and ticks,Species,10,0,0
Penthesilenula kohanga,,Crustaceans,Species,9,0,0
Haplinis sp. CG162,South Pacific dwarf spider,Spiders,Species,0,8,0
Euura proxima,Introduced sawfly,Insects,Species,8,0,0
Chaetogaster diastrophus,Oligochaete worm,Worms,Species,0,0,7
Chironomus sp.,,Insects,Species,7,0,0
Antiporus uncifer,,Insects,Species,7,0,0
Tubifex tubifex complex sp. CEA,,Worms,Species,7,0,0
Bimastos rubidus,Worm,Worms,Species,0,0,6
Dero digitata,Worm,Worms,Species,6,0,0
Callitriche petriei,,Plants,Species,6,0,0
Polygonum aviculare,Common knotgrass,Plants,Species,5,0,0
Ilyodrilus templetoni,Aquatic worm,Worms,Species,5,0,0
Rhopalomyia sp. BIOUG23125-E04,Gall midge,Insects,Species,5,0,0
Pristina sp. CEE,,Worms,Species,5,0,0
,,,,18494,20593,20196
