Scientific name,Common name,group,Rank,727401,727403,727405,727406,727402,727404
Gobiomorphus breviceps,Upland bully,Fish,Species,33533,22863,19316,34392,28610,24422
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,781,882,3370,762,933,696
Potamothrix bavaricus,Aquatic oligochaete worm,Worms,Species,995,2138,421,0,595,642
Lumbriculus variegatus,Blackworm,Worms,Species,1661,603,718,624,513,569
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,197,262,354,1143,134,175
Bos taurus,"Kau,Cattle",Mammals,Species,193,296,414,836,0,157
Eiseniella tetraedra,Squaretail worm,Worms,Species,127,429,171,722,118,89
Lumbricus rubellus,Red earthworm,Worms,Species,162,160,46,577,122,127
Nais christinae,Sludgeworm,Worms,Species,67,145,0,773,47,52
Anguilla dieffenbachii,"Tuna; kūwharuwharu; reherehe; kirirua,Longfin eel",Fish,Species,171,185,69,186,202,94
Acanthocyclops robustus,Copepod,Crustaceans,Species,61,146,0,385,188,64
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,56,66,0,248,91,112
Herpetocypris brevicaudata,,Crustaceans,Species,20,324,13,83,32,0
Enchytraeus buchholzi complex sp. CEI,,Worms,Species,72,88,0,150,45,17
Acyrthosiphon pisum,Pea aphid,Insects,Species,0,86,82,42,68,89
Physella acuta,Left handed sinistral snail,Molluscs,Species,53,86,19,124,70,9
Enchytraeus buchholzi complex sp. 2 MK-2019,Grindal worm,Worms,Species,15,73,197,34,0,10
Tubifex tubifex,Sludge worm,Worms,Species,20,100,0,156,0,0
Hudsonema alienum,Cased caddisfly,Insects,Species,19,69,29,100,40,11
Rhopalosiphum padi,Bird cherry-oat aphid,Insects,Species,43,80,25,40,0,65
Cyclotella cryptica,Brackish-water diatom,Diatoms,Species,13,33,24,118,32,10
Nais elinguis,Sludgeworm,Worms,Species,36,68,22,78,0,0
Aporrectodea caliginosa,Worm,Worms,Species,0,52,55,60,0,33
Hydroptilidae sp. 12KH6B,Purse-case caddisfly,Insects,Species,0,71,20,47,39,9
Acyrthosiphon kondoi,Blue alfalfa aphid,Insects,Species,25,0,39,68,31,0
Nais communis/variabilis complex sp. A1,Sludgeworm,Worms,Species,0,0,0,123,12,24
Lipaphis pseudobrassicae,,Insects,Species,0,18,18,23,51,44
Enchytraeus buchholzi complex sp. CEF,,Worms,Species,27,18,6,88,5,0
Potamopyrgus antipodarum,Mud Snail,Molluscs,Species,13,0,11,91,22,0
Allolobophora chlorotica,Green worm,Worms,Species,0,0,0,132,0,0
Chaetogaster diastrophus,Oligochaete worm,Worms,Species,0,57,15,52,0,0
Neochanna burrowsius,"Kowaro,Canterbury mudfish",Fish,Species,0,113,0,0,0,0
Triplectides obsoletus,NZ caddisfly,Insects,Species,16,25,24,30,17,0
Corynoneura scutellata,Non-biting midge,Insects,Species,7,19,10,32,19,0
Cernosvitoviella minor complex sp. CEF,,Worms,Species,7,18,0,54,0,6
Limnodrilus hoffmeisteri,Redworm,Worms,Species,22,30,0,20,12,0
Triplectides cephalotes,Caddisfly,Insects,Species,11,17,0,30,25,0
Chydorus sphaericus complex sp. A1,,Crustaceans,Species,78,0,0,0,0,0
Chamaedrilus aff. glandulosus B SM-2014,Worm,Worms,Species,17,33,0,23,0,0
Myzus persicae,Green peach aphid,Insects,Species,39,22,0,0,0,0
Galaxias maculatus,"Īnanga,Inanga",Fish,Species,0,0,56,0,0,0
Bothrioneurum vejdovskyanum,Worm,Worms,Species,13,0,0,40,0,0
Cochliopodium kieliense,Amoeba,Amoebae,Species,0,21,0,32,0,0
Paratanytarsus grimmii,Chironomid,Insects,Species,12,0,0,13,15,8
Stylodrilus heringianus,Worm,Worms,Species,8,0,0,27,0,11
Bothrioneurum vejdovskyanum complex sp. CEB,,Worms,Species,0,0,0,37,6,0
Octolasion cyaneum,Worm,Worms,Species,6,0,0,24,0,0
Hirundo neoxena,"Warou,Welcome swallow",Birds,Species,0,0,0,0,27,0
uncultured Pythium,,Oomycetes,Species,0,5,0,21,0,0
Henlea sp. CEA,,Worms,Species,0,0,0,26,0,0
Rattus norvegicus,"Pouhawaiki; pou o hawaiki; kaingarua; maungarua,Norway Rat",Mammals,Species,0,0,0,17,0,0
Halichaetoderma hexagonale,,Other,Species,0,0,5,11,0,0
Rotaria rotatoria,Rotifer,Rotifers,Species,0,0,0,8,7,0
Poteriospumella lacustris,Protist,Heterokont algae,Species,0,0,0,8,6,0
Nasonovia ribisnigri,Lettuce aphid,Insects,Species,0,11,0,0,0,0
Dysaphis aucupariae,Aphid,Insects,Species,0,0,0,11,0,0
Enchytraeus lacteus complex sp. CEB,,Worms,Species,0,0,0,0,11,0
Macrosiphum euphorbiae,Potato aphid,Insects,Species,0,0,0,0,0,7
Pristina jenkinae,Worm,Worms,Species,0,0,0,7,0,0
Hygraula nitens,Australian water moth,Insects,Species,0,7,0,0,0,0
Corynoptera perpusilla,Fungus gnat,Insects,Species,0,7,0,0,0,0
Globulidrilus riparius,Worm,Worms,Species,0,7,0,0,0,0
Fridericia perrieri complex sp. CEB,,Worms,Species,0,0,0,7,0,0
Prostoma graecense,Freshwater nemertean,Ribbon worms,Species,0,0,0,6,0,0
Aporrectodea trapezoides,Southern worm,Worms,Species,0,0,0,0,6,0
Hydra viridissima,"Huru moana,Hydra",Cnidarians,Species,0,5,0,0,0,0
,,,,38596,29738,25549,42741,32151,27552
