Scientific name,Common name,Group,Rank,Sequence count
Lumbriculus variegatus,Blackworm,Worms,Species,1149
Salmo trutta,"Taraute; tarauta,Brown trout",Fish,Species,1014
Galaxias vulgaris,Canterbury galaxias,Fish,Species,782
Cochliopodium kieliense,Amoeba,Amoebae,Species,282
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,260
Bos taurus,"Kau,Cattle",Mammals,Species,228
Tubifex tubifex,Sludge worm,Worms,Species,214
Gobiomorphus breviceps,Upland bully,Fish,Species,194
Psilochorema bidens,NZ caddisfly,Insects,Species,155
Sheathia transpacifica,Red alga,Red algae,Species,146
Slavina appendiculata,Worm,Worms,Species,88
Aoteapsyche colonica,NZ caddisfly,Insects,Species,81
Nais communis,Sludgeworm,Worms,Species,61
Tadorna variegata,"Pūtangitangi,Paradise Shelduck",Birds,Species,44
Potamopyrgus antipodarum,Mud Snail,Molluscs,Species,44
uncultured Pythium,,Oomycetes,Species,30
Hudsonema sp. NZCAD669,Cased caddisfly,Insects,Species,29
Tuberolachnus salignus,Giant willow aphid,Insects,Species,24
Ectopsocus briggsi,Psocopteran fly,Insects,Species,22
Torularia atra,Red algae,Red algae,Species,20
Hydra vulgaris,Hydra,Cnidarians,Species,9
Audouinella hermannii,Black algae,Red algae,Species,9
Nais communis/variabilis complex sp. A1,Sludgeworm,Worms,Species,7
Austrosimulium australense,Sandfly,Insects,Species,7
Tubifex tubifex complex sp. CEA,,Worms,Species,6
,,,,9763
