Scientific name,Common name,Group,Rank,Sequence count
Salmo trutta,"Taraute; tarauta,Brown trout",Fish,Species,2795
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,2704
Cochliopodium kieliense,Amoeba,Amoebae,Species,825
Lumbriculus variegatus,Blackworm,Worms,Species,651
Galaxias vulgaris,Canterbury galaxias,Fish,Species,555
Gobiomorphus breviceps,Upland bully,Fish,Species,441
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,424
Anguilla dieffenbachii,"Tuna; kūwharuwharu; reherehe; kirirua,Longfin eel",Fish,Species,379
Bos taurus,"Kau,Cattle",Mammals,Species,205
Porphyrio melanotus,"Pūkeko,Pukeko",Birds,Species,165
Psilochorema tautoru,NZ caddisfly,Insects,Species,140
Psilochorema bidens,NZ caddisfly,Insects,Species,134
Potamopyrgus antipodarum,Mud Snail,Molluscs,Species,97
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,79
Neochanna burrowsius,"Kowaro,Canterbury mudfish",Fish,Species,74
Nais communis,Sludgeworm,Worms,Species,62
Tuberolachnus salignus,Giant willow aphid,Insects,Species,61
Limnodrilus hoffmeisteri,Redworm,Worms,Species,59
uncultured Pythium,,Oomycetes,Species,53
Corynoneura scutellata,Non-biting midge,Insects,Species,48
Chamaedrilus aff. glandulosus B SM-2014,Worm,Worms,Species,41
Euura proxima,Introduced sawfly,Insects,Species,40
Sheathia transpacifica,Red alga,Red algae,Species,40
Acanthocyclops robustus,Copepod,Crustaceans,Species,35
Eiseniella tetraedra,Squaretail worm,Worms,Species,33
Herpetocypris brevicaudata,,Crustaceans,Species,33
Myzus ornatus,Ornate aphid; violet aphid,Insects,Species,28
Gymnorhina tibicen,Magpie,Birds,Species,26
Enchytraeus buchholzi complex sp. CEF,,Worms,Species,19
Nais communis/variabilis complex sp. A1,Sludgeworm,Worms,Species,17
Trichosurus vulpecula,"Paihamu; paihama,Common brushtail possum",Mammals,Species,16
Canis lupus familiaris,"Pero,Dog",Mammals,Subspecies,13
Torularia atra,Red algae,Red algae,Species,6
Rotaria rotatoria,Rotifer,Rotifers,Species,6
Chaetogaster sp. CEE,,Worms,Species,6
Oeconesus maori,NZ caddisfly,Insects,Species,5
,,,,14864
