Scientific name,Common name,Group,Rank,Sequence count
Gobiomorphus breviceps,Upland bully,Fish,Species,1583
Galaxias vulgaris,Canterbury galaxias,Fish,Species,1382
Rhopalosiphum padi,Bird cherry-oat aphid,Insects,Species,108
Chaetogaster diastrophus,Oligochaete worm,Worms,Species,72
Tubifex tubifex,Sludge worm,Worms,Species,62
Sheathia transpacifica,Red alga,Red algae,Species,57
Cyclotella cryptica,Brackish-water diatom,Diatoms,Species,45
Triplectides obsoletus,NZ caddisfly,Insects,Species,43
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,36
Eiseniella tetraedra,Squaretail worm,Worms,Species,28
Cochliopodium kieliense,Amoeba,Amoebae,Species,27
Aphis craccivora,Cowpea aphid,Insects,Species,26
Nais communis,Sludgeworm,Worms,Species,25
Dysaphis aucupariae,Aphid,Insects,Species,22
Hydrobiosis clavigera,Caddisfly,Insects,Species,13
Pinnularia neomajor,Diatom,Diatoms,Species,10
Bos taurus,"Kau,Cattle",Mammals,Species,9
uncultured Pythium,,Oomycetes,Species,9
Oxyethira albiceps,Micro caddisfly,Insects,Species,6
Smittia sp. 8ES,,Insects,Species,6
Deleatidium fumosum,NZ mayfly,Insects,Species,5
,,,,8105
