Scientific name,Common name,group,Rank,722281,722282,722283,722284,722285,722286
Gobiomorphus hubbsi,Bluegilled bully,Fish,Species,26833,28418,32597,33093,25917,26195
Gobiomorphus breviceps,Upland bully,Fish,Species,4158,0,3633,3559,3116,2686
Gobiomorphus cotidianus,"Tīpokopoko; toitoi,Common bully",Fish,Species,1189,1091,1213,1228,1048,1068
Cricotopus sp. NZeP20,NZ mining midge,Insects,Species,429,1948,1721,416,813,639
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,1126,645,588,489,791,955
Nais communis,Sludgeworm,Worms,Species,1058,330,373,262,388,405
Tanytarsus sp. EJD-2015,Non-biting midge,Insects,Species,411,305,295,287,249,308
Cheimarrichthys fosteri,"Panoko; pānokonoko; pānonoko,Torrentfish",Fish,Species,399,323,367,276,178,288
Aoteapsyche colonica,NZ caddisfly,Insects,Species,240,274,342,201,350,365
Nais elinguis,Sludgeworm,Worms,Species,349,226,142,114,284,223
Salmo trutta,"Taraute; tarauta,Brown trout",Fish,Species,302,328,0,260,236,0
Anguilla dieffenbachii,"Tuna; kūwharuwharu; reherehe; kirirua,Longfin eel",Fish,Species,79,118,297,150,85,89
Nasturtium officinale,"Wātakirihi; kōwhitiwhiti,Watercress",Plants,Species,179,71,124,270,85,67
Chaetogaster diastrophus,Oligochaete worm,Worms,Species,145,177,109,56,160,138
Nais communis/variabilis complex sp. A1,Sludgeworm,Worms,Species,605,0,0,7,73,79
Hydropsyche catherinae,Netspinning caddisfly,Insects,Species,66,87,127,46,151,153
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,102,50,131,150,63,0
Hydra vulgaris,Hydra,Cnidarians,Species,8,6,0,0,386,66
Limnodrilus hoffmeisteri,Redworm,Worms,Species,214,39,0,15,56,42
Hydrobiosis clavigera,Caddisfly,Insects,Species,42,43,30,35,48,50
Spergula arvensis,,Plants,Species,0,35,0,32,23,89
Encyonema sp. WJS-2015a,Diatom,Diatoms,Species,11,23,13,32,38,52
Psilochorema bidens,NZ caddisfly,Insects,Species,30,30,29,17,31,24
Arrhenatherum elatius,,Plants,Species,0,88,0,61,0,8
Salix alba,White willow,Plants,Species,44,52,0,0,0,55
Nais christinae,Sludgeworm,Worms,Species,90,0,0,0,32,27
Elodea canadensis,Pondweed; waterweed,Plants,Species,81,23,16,0,0,15
Retropinna retropinna,"Ngaore; paraki; pōrohe,Common smelt",Fish,Species,45,0,49,16,8,14
Cyclotella cryptica,Brackish-water diatom,Diatoms,Species,22,15,23,23,15,21
Stylodrilus heringianus,Worm,Worms,Species,16,20,19,13,30,16
Galaxias maculatus,"Īnanga,Inanga",Fish,Species,25,31,24,13,7,6
Calystegia sepium,Hedge bindweed,Plants,Species,0,0,0,99,0,0
Clematis terniflora,Clematis,Plants,Species,11,24,0,46,0,18
Anas chlorotis or gracilis,"Pāteke,Brown or grey teal",Birds,Species,0,31,50,15,0,0
Lumbriculus variegatus,Blackworm,Worms,Species,26,6,0,0,39,11
Hydroptilidae sp. 12KH6B,Purse-case caddisfly,Insects,Species,15,6,22,9,14,14
Eiseniella tetraedra,Squaretail worm,Worms,Species,6,0,36,7,6,12
Paracyclops fimbriatus,Copepod,Crustaceans,Species,0,0,56,0,5,6
Acanthocyclops robustus,Copepod,Crustaceans,Species,0,0,0,0,61,0
Stentor roeselii,Ciliate,Ciliates,Species,0,0,0,0,57,0
Staurastrum punctulatum,,Other,Species,47,8,0,0,0,0
Polygonum aviculare,Common knotgrass,Plants,Species,0,0,0,0,16,36
Euura proxima,Introduced sawfly,Insects,Species,0,27,9,0,13,0
Pristina sp. CEF,,Worms,Species,10,7,7,8,5,12
Galaxias vulgaris,Canterbury galaxias,Fish,Species,0,23,0,7,17,0
Nais pseudobtusa complex sp. CEC,,Worms,Species,0,9,12,8,9,0
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,28,0,0,0,0,8
Pycnocentrodes sp. KAJ-2009,Stony cased caddisfly,Insects,Species,0,8,0,0,19,9
Tubifex tubifex,Sludge worm,Worms,Species,30,0,0,5,0,0
Galium aparine,,Plants,Species,0,0,0,0,0,32
uncultured Pythium,,Oomycetes,Species,0,5,7,0,9,10
Tadorna variegata,"Pūtangitangi,Paradise Shelduck",Birds,Species,0,0,0,29,0,0
Poteriospumella lacustris,Protist,Heterokont algae,Species,5,0,13,0,0,10
Plantago lanceolata,"Ribwort plantain,narrowleaf plantain,English plantain,ribleaf,lamb's tongue,buckhorn",Plants,Species,0,5,0,8,0,12
Hudsonema alienum,Cased caddisfly,Insects,Species,25,0,0,0,0,0
Cernosvitoviella minor complex sp. CEF,,Worms,Species,0,0,23,0,0,0
Audouinella hermannii,Black algae,Red algae,Species,0,11,6,0,0,5
Potamogeton crispus,Curly-leaf pondweed,Plants,Species,11,0,0,0,0,9
Vannella simplex,Amoeba,Amoebae,Species,0,6,14,0,0,0
Trifolium repens,Creeping white clover,Plants,Species,0,0,0,0,17,0
Dactylis glomerata,Catgrass; cocksfoot,Plants,Species,0,17,0,0,0,0
Vigna angularis,Adzuki bean,Plants,Species,0,0,0,6,10,0
Cervus elaphus,"Tia,Red Deer",Mammals,Species,0,0,0,8,8,0
Medicago lupulina,,Plants,Species,0,0,0,10,6,0
Oxyethira albiceps,Micro caddisfly,Insects,Species,0,0,0,0,16,0
Canis lupus familiaris,"Pero,Dog",Mammals,Subspecies,8,0,0,7,0,0
Phalacrocorax carbo,"Kawau pū,Black Shag",Birds,Species,0,0,0,0,14,0
Solanum dulcamara,Climbing nightshade; Bittersweet nightshade; Poisonberry,DISCARD,Species,0,7,0,0,0,7
Branchiura sowerbyi,Oligochaete worm,Worms,Species,14,0,0,0,0,0
Hudsonema amabile,Long-horned caddisfly,Insects,Species,0,14,0,0,0,0
Enchytraeus buchholzi complex sp. 2 MK-2019,Grindal worm,Worms,Species,0,0,0,0,0,14
Bothrioneurum vejdovskyanum complex sp. CEA,,Worms,Species,14,0,0,0,0,0
Prostoma eilhardi,Freshwater ribbon worm,Ribbon worms,Species,6,0,0,0,7,0
Enchytraeus buchholzi complex sp. CEI,,Worms,Species,13,0,0,0,0,0
Physella acuta,Left handed sinistral snail,Molluscs,Species,0,0,12,0,0,0
Holcus lanatus,Yorkshire fog,Plants,Species,0,0,0,11,0,0
Potamopyrgus antipodarum,Mud Snail,Molluscs,Species,5,0,6,0,0,0
Leptolegnia sp. BOLD:AAX5717,,Oomycetes,Species,0,11,0,0,0,0
Tanypus kraatzi,,Insects,Species,11,0,0,0,0,0
Herpetocypris brevicaudata,,Crustaceans,Species,0,0,5,0,0,6
Fumaria agraria,,Plants,Species,0,0,0,0,10,0
Prunella modularis,Dunnock,Birds,Species,0,0,0,0,0,9
Gobiomorphus huttoni,Redfin bully,Fish,Species,0,0,0,0,9,0
Triplectides obsoletus,NZ caddisfly,Insects,Species,0,9,0,0,0,0
Conium maculatum,Fool's-parsley,Plants,Species,0,0,7,0,0,0
Zosterops lateralis,"Pihipihi; tauhou; hiraka,Silvereye",Birds,Species,0,0,0,0,0,7
Paratanytarsus grimmii,Chironomid,Insects,Species,0,7,0,0,0,0
Sheathia jiugongshanensis,,Red algae,Species,7,0,0,0,0,0
Bos taurus,"Kau,Cattle",Mammals,Species,0,0,0,6,0,0
Bothrioneurum vejdovskyanum,Worm,Worms,Species,0,0,0,0,0,6
Sphaerium novaezelandiae,NZ freshwater clam,Molluscs,Species,0,0,6,0,0,0
Rhopalosiphum nymphaeae,Waterlily aphid,Insects,Species,6,0,0,0,0,0
Pycnocentria evecta,NZ caddisfly,Insects,Species,6,0,0,0,0,0
Stenostomum leucops aquariorum,,Flatworms,Subspecies,5,0,0,0,0,0
Reseda luteola,dyer's rocket,Plants,Species,0,0,0,0,5,0
Veliidae sp.,,Insects,Species,0,0,5,0,0,0
Festuca myuros or ambigua,Annual fescue,Plants,Species,0,0,0,5,0,0
,,,,38607,35037,42558,41415,35033,34396
