Scientific name,Common name,Group,Rank,Sequence count
Neochanna burrowsius,"Kowaro,Canterbury mudfish",Fish,Species,10149
Gobiomorphus breviceps,Upland bully,Fish,Species,3089
Tubifex tubifex,Sludge worm,Worms,Species,224
Ovis aries,"Pirikahu; hipi,Sheep",Mammals,Species,209
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,139
Acanthocyclops robustus,Copepod,Crustaceans,Species,104
Trichosurus vulpecula,"Paihamu; paihama,Common brushtail possum",Mammals,Species,73
Limnodrilus hoffmeisteri,Redworm,Worms,Species,66
Rotaria rotatoria,Rotifer,Rotifers,Species,56
Ilyodrilus sp. CEB,,Worms,Species,36
Oxyethira albiceps,Micro caddisfly,Insects,Species,33
Hydroptilidae sp. 12KH6B,Purse-case caddisfly,Insects,Species,28
Diptera sp.,,Insects,Species,27
Chaetogaster sp. CEO,,Worms,Species,25
Bos taurus,"Kau,Cattle",Mammals,Species,16
Stylodrilus heringianus,Worm,Worms,Species,15
Sheathia transpacifica,Red alga,Red algae,Species,11
Frustulia vulgaris,Diatom,Diatoms,Species,8
Slavina appendiculata,Worm,Worms,Species,7
,,,,26957
