Scientific name,Common name,Group,Rank,Sequence count
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,1031
Lumbriculus variegatus,Blackworm,Worms,Species,695
Galaxias vulgaris,Canterbury galaxias,Fish,Species,516
Salmo trutta,"Taraute; tarauta,Brown trout",Fish,Species,334
Tubifex tubifex,Sludge worm,Worms,Species,302
Hydroptilidae sp. 12KH6B,Purse-case caddisfly,Insects,Species,279
Acanthocyclops robustus,Copepod,Crustaceans,Species,221
Porphyrio melanotus,"Pūkeko,Pukeko",Birds,Species,158
Limnodrilus hoffmeisteri,Redworm,Worms,Species,92
Rotaria rotatoria,Rotifer,Rotifers,Species,91
Herpetocypris brevicaudata,,Crustaceans,Species,65
Ectopsocus briggsi,Psocopteran fly,Insects,Species,63
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,52
Potamopyrgus antipodarum,Mud Snail,Molluscs,Species,51
Psilochorema bidens,NZ caddisfly,Insects,Species,51
Nais communis,Sludgeworm,Worms,Species,46
Psilochorema tautoru,NZ caddisfly,Insects,Species,46
Bothrioneurum vejdovskyanum complex sp. CEA,,Worms,Species,46
Drepanosiphum platanoidis,Sycamore aphid,Insects,Species,36
Triplectides obsoletus,NZ caddisfly,Insects,Species,32
Cochliopodium kieliense,Amoeba,Amoebae,Species,30
Camptocladius stercorarius,,Insects,Species,26
Anguilla dieffenbachii,"Tuna; kūwharuwharu; reherehe; kirirua,Longfin eel",Fish,Species,21
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,19
Pycnocentria evecta,NZ caddisfly,Insects,Species,19
Eiseniella tetraedra,Squaretail worm,Worms,Species,16
Rattus norvegicus,"Pouhawaiki; pou o hawaiki; kaingarua; maungarua,Norway Rat",Mammals,Species,15
Chaetogaster diastrophus,Oligochaete worm,Worms,Species,15
Chamaedrilus aff. glandulosus B SM-2014,Worm,Worms,Species,15
Corynoneura scutellata,Non-biting midge,Insects,Species,14
Oxyethira albiceps,Micro caddisfly,Insects,Species,11
Nais communis/variabilis complex sp. A1,Sludgeworm,Worms,Species,11
Audouinella hermannii,Black algae,Red algae,Species,10
Mustela erminea,Stoat,Mammals,Species,9
Oeconesus maori,NZ caddisfly,Insects,Species,9
uncultured Pythium,,Oomycetes,Species,9
Mus musculus,House mouse,Mammals,Species,8
Hypogastrura purpurescens,Springtail,Springtails,Species,8
Nais elinguis,Sludgeworm,Worms,Species,7
Hydra vulgaris,Hydra,Cnidarians,Species,6
Stylodrilus heringianus,Worm,Worms,Species,6
Chrysophyceae sp.,,Heterokont algae,Species,6
Ilyodrilus sp. CEB,,Worms,Species,6
Torularia atra,Red algae,Red algae,Species,5
,,,,8042
