"Taxa","Gumtree_flat_A","Haldon_Pastures_A","Haldon_Pastures_P","Haldon_wetland_P","Opihi_A","Papaka_stream_P","Phillips_Lagoon_1_A","Phillips_Lagoon_2_P","Phillips_Lagoon_3_P","Phillips_Lagoon_4_A","Taranaki_stream_tutaepatu_A","Whittney_creak_P"
"",1,1,1,1,1,1,1,1,1,1,1,1
"Acalitus vaccinii",0,0,0,0,0,0,0,1,0,0,0,0
"Acanthocyclops robustus",1,1,0,0,1,1,1,1,1,0,0,1
"Acyrthosiphon kondoi",0,0,0,0,0,0,0,0,0,0,0,1
"Acyrthosiphon pisum",0,0,0,0,0,0,0,0,0,0,0,1
"Aldrichetta forsteri",0,0,0,0,0,0,0,0,0,1,0,0
"Allolobophora chlorotica",0,0,0,0,0,0,0,0,0,0,0,1
"Anas chlorotis or gracilis",1,0,0,1,1,0,0,0,0,1,0,0
"Anas platyrhynchos",0,1,1,1,1,1,1,1,1,1,1,1
"Anguilla australis",1,1,1,0,1,1,1,1,1,1,0,1
"Anguilla dieffenbachii",0,1,0,0,1,1,1,1,1,0,0,1
"Anthoxanthum odoratum",0,0,0,0,0,0,0,0,1,0,0,0
"Anthoxanthum sp. MP-2014",0,0,0,0,0,0,0,0,1,0,0,0
"Antiporus uncifer",0,0,0,0,0,0,0,0,1,0,0,0
"Aoteapsyche colonica",0,0,0,0,1,0,0,0,0,0,0,0
"Aporrectodea caliginosa",1,0,0,0,0,1,0,1,0,0,0,1
"Aporrectodea caliginosa L3",0,0,1,0,0,0,0,0,0,0,0,0
"Aporrectodea rosea",0,0,0,0,0,1,0,0,0,0,0,0
"Aporrectodea trapezoides",0,0,0,0,0,1,1,0,0,0,0,1
"Arrhenatherum elatius",0,0,0,0,1,0,0,0,0,0,0,0
"Audouinella hermannii",0,1,0,0,1,0,0,0,0,0,0,0
"Austrosimulium australense",1,0,0,0,0,0,0,0,0,0,0,0
"Aythya novaeseelandiae",0,0,0,1,0,0,0,0,1,0,0,0
"Bimastos rubidus",0,0,0,0,0,1,0,1,1,0,0,0
"Bos taurus",1,0,0,0,1,1,1,1,1,1,0,1
"Bothrioneurum vejdovskyanum",0,0,0,0,1,0,0,0,0,0,0,1
"Bothrioneurum vejdovskyanum complex sp. CEA",0,1,0,0,1,0,1,0,1,0,0,0
"Bothrioneurum vejdovskyanum complex sp. CEB",0,0,0,0,0,0,0,0,1,0,1,1
"Branchiura sowerbyi",0,0,0,0,1,0,0,0,0,0,0,0
